image,name,cost,text,set,rarity,type,supertype,subtype,subtype2
 REY-GRADEN,REY GRADEN,3,Las órdenes de unidad que juegues cuestan 1 menos. El coste no puede ser menor que 1.,PACTO SECRETO,DIAMANTE,UNIDAD,REALEZA,SOLDADO,-
 RIO_VIVIENTE_COPIA,RIO VIVIENTE,2,"Aparición en juego: Mira la primera carta de tu Bóveda. Si es un tesoro genérico, puedes revelarlo y ponerlo en Tesoros Agotados.",TRONO COMPARTIDO,PLATA,UNIDAD,-,ELEMENTAL,-
 RITUAL_DE_INVOCACION_COPIA,RITUAL DE INVOCACION,4,Crea una ficha espíritu 5/5 con Arrollar.,TRONO COMPARTIDO,PLATA,ACCION,-,RAPIDA,ELEMENTAL
 RITUAL-DE-NEGACION,RITUAL DE NEGACION,1,Como coste adicional descarta una carta. Elige 1: - Cancela el efecto en juego objetivo. - Interrumpe la orden de acción o unidad objetivo de coste 3 o menos.,PACTO SECRETO,ORO,ACCION,-,RAPIDA,-
 ROEDOR-INFECTADO,ROEDOR INFECTADO,1,"Si controlas un Roedor infectado, puedes jugar esta carta sin pagar su coste.",PACTO SECRETO,BRONCE,UNIDAD,-,ANIMAL,-
 ROJO-FUGAZ,ROJO FUGAZ,1,Frenesí. (Esta unidad puede atacar el mismo turno que entra bajo tu control). Los animales que controlas ganan Frenesí.,PACTO SECRETO,ORO,UNIDAD,-,ANIMAL,-
 ROMPIENDO-PUERTAS,ROMPIENDO PUERTAS,3,Elige 1: - Destruye la unidad objetivo. - Destruye el monumento objetivo.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 RUBI-MAGICO,RUBI MAGICO,0,"Aparición en juego: Si controlas al menos una unidad desertor o soldado, roba una carta y hace 1 punto de daño al jugador objetivo.",PACTO SECRETO,ORO,TESORO,-,SAGRADO,-
 RUGIDO-ANIMAL,RUGIDO ANIMAL,3,Hace 1 punto de daño por cada animal que controlas repartido entre cualquier cantidad de objetivos.,PACTO SECRETO,PLATA,ACCION,-,COMUN,-
 RUNA_DE_PACIFICACION_COPIA,RUNA DE PACIFICACION,0,Aparición en juego: Pacifica la unidad objetivo.,TRONO COMPARTIDO,PLATA,TESORO,-,COMUN,-
 SABLON-CAMINANTE,SABLON CAMINANTE,4,"Frenesí. Arrollar. Siempre que esta unidad haga daño de combate a un jugador,  crea una ficha elemental 2/2.",PACTO SECRETO,PLATA,UNIDAD,-,ELEMENTAL,-
 SACRIFICAR-AL-INOCENTE,SACRIFICAR AL INOCENTE,0,"Una vez durante tu turno, puedes descartar una carta de unidad para ganar 3 vidas.",FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 SALAH-CONSEJERO-REAL,"SALAH, CONSEJERO REAL",3,"Aparición en juego: Hace 2 puntos de daño al jugador objetivo. Busca a ""Fajid, rey desertor"" en tu Reino y ponlo en tu mano.",FUNDAMENTOS,PLATA,UNIDAD,-,DESERTOR,-
 SALTADOR_DE_MART_COPIA,SALTADOR DE MAR,4,Hurto. Aparición en juego: Cada oponente descarta una carta por cada unidad envenenada que controla.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,PIRATA,INSECTO
 Sam-celoso-del-oro,"SAM, CELOSO DEL ORO",3,Hurto. Aparición en juego: Mezcla el tesoro objetivo en la Reserva en la Bóveda de su controlador.,PACTO SECRETO,BRONCE,UNIDAD,-,PIRATA,-
 SANTUARIO-DEL-BOSQUE,SANTUARIO DEL BOSQUE,2, Puedes erosionar para que la unidad objetivo gane Indesctructible hasta el final del turno. Erosión 2.,PACTO SECRETO,ORO,MONUMENTO,-,-,-
 SARIB-LA-BAILARINA,"SARIB, LA BAILARINA",1,Aparición en juego: La unidad objetivo no puede atacar ni bloquear hasta la próxima fase final de su controlador.,FUNDAMENTOS,BRONCE,UNIDAD,-,DESERTOR,-
 SARIB_VENGANZA_DANSANTE_COPIA,"SARIB, VENGANZA DANZANTE",7,Arrollar. Frenesí. Resguardo: 1 de oro. Cuesta 1 menos por cada carta de unidad en tu Averno. El coste no puede ser menor que 1.,TRONO COMPARTIDO,PLATA,UNIDAD,-,DESERTOR,DEMONIO
 SATIRA-EMBRUJADA,SATIRA EMBRUJADA,1,Atracción. (Esta unidad puede bloquear hasta dos unidades).,PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,-
 SENTENSIA_COMPARTIDA_COPIA,SENTENCIA COMPARTIDA,2,"Sentencia hasta dos unidades objetivo. (La unidad sentenciada gana ""Al inicio de tu próxima fase final, destruye esta unidad"").",TRONO COMPARTIDO,BRONCE,ACCION,-,COMUN,-
 SERAFICA_PACIFICADORA_COPIA,SERAFICA PACIFICADORA,3,"Aparición en juego: Crea una ficha ángel 3/3 con Evasión. Siempre que una ficha de unidad aliada entre al campo, pacifica la unidad rival objetivo. Esta habilidad dispara solo una vez por turno.",TRONO COMPARTIDO,ORO,UNIDAD,-,MONJE,-
 SEVERUS_DEMONIO_OCULTO_COPIA,"SEVERUS, DEMONIO OCULTO",5,"Evasión. Guardián. Aparición en juego: Sentencia las otras unidades, luego crea dos fichas demonio 0/3 con ""Derrotado: Roba una carta"".",TRONO COMPARTIDO,DIAMANTE,UNIDAD,REALEZA,DEMONIO,-
 SEVERUS-EL-CONSEJERO,"SEVERUS, EL CONSEJERO",5,Aparición en juego: Roba una carta por cada unidad que controlas.,FUNDAMENTOS,BRONCE,UNIDAD,-,SOLDADO,-
 SLIME_POSESIVO_COPIA,SLIME POSESIVO,3,"Aparición en juego: Puedes destruir otro insecto aliado objetivo. Si lo haces, revela un tesoro y muévelo a Tesoros Agotados.",TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,ELEMENTAL
 SOLDADO-ELITE,SOLDADO ELITE,2,Dureza. (Esta unidad recibe 1 punto menos de daño de cualquier fuente durante la fase de combate).,FUNDAMENTOS,BRONCE,UNIDAD,-,SOLDADO,-
 SOMBRA-DEL-DESIERTO,SOMBRA DEL DESIERTO,2,"Siempre que otra unidad entre al campo de batalla bajo tu control, el jugador objetivo pierde 1 vida.",PACTO SECRETO,ORO,UNIDAD,REALEZA,DESERTOR,BRUJA
 SOSTENIENDO-EL-MUNDO,SOSTENIENDO EL MUNDO,0,"Mientras este tesoro se encuentre en tu reserva, las unidades que controlas ganan +1/+0.",FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 SUCUBO_DESCENDENTE_COPIA,SUCUBO DESCENDENTE,1,"Sorpresivo. Aparición en juego: La unidad rival gana -X/-X hasta el final del turno, siendo X la cantidad de demonios aliados. Derrotado: Condena esta unidad.",TRONO COMPARTIDO,PLATA,UNIDAD,-,DEMONIO,-
 SUPREMA_CORTE_INFERNAL_COPIA,SUPREMA CORTE INFERNAL,0,Agotar: El jugador objetivo condena la primera carta de su Reino.,TRONO COMPARTIDO,ORO,TESORO,-,COMUN,-
 SUSTO_PERTURBADOR_COPIA,SUSTO PERTURBADOR,3,Derrotado: Sentencia la unidad objetivo y condena esta unidad.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 TACTICAS-DE-BATALLA,TACTICAS DE BATALLA,1,La unidad objetivo no puede bloquear este turno.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 TESORO-ESCONDIDO,TESORO ESCONDIDO,2,Revela un tesoro y muévelo a la zona de tesoros agotados.,PACTO SECRETO,PLATA,ACCION,-,COMUN,-
 Ficha,TESORO GENERICO,0,Agotar: Genera 1 oro.,PACTO SECRETO,BRONCE,TESORO,-,-,-
 TIM-EL-VALIENTE,"TIM, EL VALIENTE",1,"Si controlas a Phill, el mejor amigo, esta unidad gana +1/+1.",PACTO SECRETO,BRONCE,UNIDAD,-,SOLDADO,-
 TIMONEL-SIN-RUMBO,TIMONEL SIN RUMBO,2,Aparición en juego: El jugador objetivo descarta  una carta.,PACTO SECRETO,BRONCE,UNIDAD,-,PIRATA,-
 TIRADOR-DE-HAMRRA,TIRADOR DE HAMRRA,3,"Vigía. Siempre que bloquee a una unidad con Evasión, esta unidad gana +1/+0 hasta el final del turno.",PACTO SECRETO,BRONCE,UNIDAD,-,DESERTOR,-
 TORMENTA-DE-ARENA,TORMENTA DE ARENA,3,Hace 3 puntos de daño a cada unidad y a cada jugador.,FUNDAMENTOS,ORO,ACCION,-,COMUN,-
 TORMENTA-DE-FUEGO,TORMENTA DE FUEGO,0,Agotar: Hace 1 punto de daño a las unidades que controla el jugador objetivo.,PACTO SECRETO,PLATA,TESORO,-,SAGRADO,-
 TOTEM-DE-ESPIRITU-ANIMAL,TOTEM DE ESPIRITU ANIMAL,1,Una vez durante tu turno puedes erosionar para crear una ficha animal 1/1. Erosión 3.,PACTO SECRETO,PLATA,MONUMENTO,-,-,-
 TRAMPA-DE-ESPINAS,TRAMPA DE ESPINAS,1,Destruir: Hasta tres unidades objetivo sin Evasión no puedan atacar este turno.,PACTO SECRETO,BRONCE,MONUMENTO,-,-,-
 TRIPULACION-EN-CAMINO,TRIPULACION EN CAMINO,3,Busca en tu Reino dos cartas de unidad de coste 2 o menos y juégalas sin pagar su coste. Esas órdenes no pueden ser interrumpidas.,FUNDAMENTOS,ORO,ACCION,-,RAPIDA,-
 UNION-DE-BRUJAS,UNION DE BRUJAS,2,Interrumpe la orden de acción objetivo.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 URLAMOK_GUARDIAN_DEL_ORO_COPIA,"URLAMOK, GUARDIAN DEL ORO",7,Ininterrumpible. Evasión. Guardián. Resguardo: 2 de oro. Aparición en juego: Elige 2: -Crea una ficha espíritu 5/5 con Arrollar. -Naturaliza la unidad o tesoro rival objetivo. -Ganas 7 vidas. -Roba una carta.,TRONO COMPARTIDO,DIAMANTE,UNIDAD,-,ELEMENTAL,DRAGON
 VENGANZA_DE_ERODON_COPIA,VENGANZA DE ERODON,5,Condena las unidades con contadores.,TRONO COMPARTIDO,PLATA,ACCION,-,RAPIDA,-
 VERDUGO_INFERNAL_COPIA,VERDUGO INFERNAL,1,Aparición en juego: Condena la carta de unidad objetivo de un Descarte.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 VIDENTE-DEL-BOSQUE,VIDENTE DEL BOSQUE,2,"Predicción 1. Durante tu turno, Destruir: Roba una carta.",PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,-
 VIDENTE-EFECTIVA,VIDENTE EFECTIVA,1,"Predicción 2. (Mira las primeras X cartas de tu Reino, dónde X es el número de Predicción, luego pon cualquier cantidad en la parte superior y el resto en el fondo).",PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,-
 VIGILANTE_DEL_PORTAL_COPIA,VIGILANTE DEL PORTAL,2,Aparición en juego: Cada jugador condena una carta de su mano.,TRONO COMPARTIDO,PLATA,UNIDAD,-,DEMONIO,-
 VINO_VIGOTIZANTE_COPIA,VINO VIGORIZANTE DE MONJE,0,Agotar: Remueve hasta un contador de la unidad objetivo.,TRONO COMPARTIDO,PLATA,TESORO,-,COMUN,-
 VOLUNTARIO_PARA_SACRIFICIO_COPIA,VOLUNTARIO PARA SACRIFICIO,4,Derrotado: Crea una ficha ángel 3/3 con Evasión.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 VOLVIENDO_DEL_PASEO,VOLVIENDO DEL PASEO,1,"Reaparece la unidad objetivo. Si controlas un monje, ganas 2 vidas.",TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,MONJE
